waktu;windspeed;winddir;temp;rh;pressure;rain;solrad;netrad;watertemp;waterlevel;ta_min;ta_max;pancilevel;pancitemp
01/01/2022 00:00:00;0,7;187;26,8;84;1009,7;0;253,7;0;28,5;3,486;0;0;0;0
01/01/2022 01:00:00;1,1;58;27,7;82;1010,1;0;283,6;0;28,6;3,736;0;0;0;0
01/01/2022 02:00:00;2;48;28;79;1010,2;0;413,4;0;28,5;3,873;0;0;0;0
01/01/2022 03:00:00;4,7;48;28,5;74;1010;0,2;486;0;28,5;3,89;0;0;0;0
01/01/2022 04:00:00;2,6;41;29,5;75;1009,3;0,2;741,3;0;28,6;3,844;0;0;0;0
01/01/2022 05:00:00;2,6;51;28;84;1008,8;0,2;194,5;0;28,6;3,731;0;0;0;0
01/01/2022 06:00:00;4;32;28,3;82;1008,2;0,8;146,8;0;28,6;3,574;0;0;0;0
01/01/2022 07:00:00;5,3;33;27,6;80;1007,2;0,8;148,5;0;28,6;3,537;0;0;0;0
01/01/2022 08:00:00;5,3;39;27,4;79;1007,1;0,8;78,3;0;28,5;3,583;0;0;0;0
01/01/2022 09:00:00;3,1;58;27;80;1007,4;0,8;61,7;0;28,4;3,782;0;0;0;0
01/01/2022 10:00:00;3,3;41;27;82;1007,6;0,8;26,7;0;28,2;4,089;0;0;0;0
01/01/2022 11:00:00;0,7;302;26,7;81;1008,7;0,8;0;0;28,2;4,403;0;0;0;0
01/01/2022 12:00:00;1,5;221;26,7;81;1009,4;0,8;0;0;28,1;4,654;0;0;0;0
01/01/2022 13:00:00;1,3;235;26,5;79;1010,2;0,8;0;0;28,2;4,738;0;0;0;0
01/01/2022 14:00:00;1,7;320;25,6;85;1010,2;0,8;0;0;28,4;4,672;0;0;0;0
01/01/2022 15:00:00;1;336;25,8;87;1010,2;1;0;0;28,6;4,433;0;0;0;0
01/01/2022 16:00:00;1,1;278;25,1;90;1009,3;1,2;0;0;28,5;4,047;0;0;0;0
01/01/2022 17:00:00;1;278;24,9;93;1009,1;1,2;0;0;28,3;3,546;0;0;0;0
01/01/2022 18:00:00;2;322;24,8;86;1008,8;1,2;0;0;28,4;3,038;0;0;0;0
01/01/2022 19:00:00;1,5;327;24,9;87;1008,2;1,2;0;0;28,3;2,605;0;0;0;0
01/01/2022 20:00:00;0,9;310;24,7;88;1007,8;1,2;0;0;28,1;2,423;0;0;0;0
01/01/2022 21:00:00;1,3;307;24,4;86;1007,6;1,2;0;0;28;2,482;0;0;0;0
01/01/2022 22:00:00;1,2;293;24,2;88;1008,3;1,2;0;0;27,8;2,699;0;0;0;0
01/01/2022 23:00:00;1,2;278;24,4;86;1009;1,2;71,1;0;27,6;2,974;0;0;0;0
02/01/2022 00:00:00;0,6;266;26,4;81;1009,8;0;180,4;0;28;3,218;0;0;0;0
02/01/2022 01:00:00;0,7;165;27,5;74;1009,9;0;312;0;28,2;3,486;0;0;0;0
02/01/2022 02:00:00;1,1;164;27,4;79;1010,1;0;431,5;0;28,2;3,714;0;0;0;0
02/01/2022 03:00:00;0,9;149;28,2;75;1009,7;0;518,4;0;28,3;3,869;0;0;0;0
02/01/2022 04:00:00;1,5;95;29,8;64;1008,9;0;953,8;0;28,4;3,908;0;0;0;0
02/01/2022 05:00:00;2,9;40;29;72;1008,2;0;208,3;0;28,6;3,856;0;0;0;0
02/01/2022 06:00:00;1,4;307;25,7;88;1008,1;2;327;0;28,7;3,71;0;0;0;0
02/01/2022 07:00:00;1,3;166;27,5;78;1007,5;2;157,1;0;28,5;3,546;0;0;0;0
02/01/2022 08:00:00;1,5;162;27,6;81;1007,1;2;154,4;0;28,8;3,477;0;0;0;0
02/01/2022 09:00:00;2;201;27,7;82;1007;2;120;0;28,2;3,513;0;0;0;0
02/01/2022 10:00:00;2,6;216;26,6;82;1007,8;2;13,7;0;28;3,772;0;0;0;0
02/01/2022 11:00:00;1,7;226;25,7;88;1008,7;3,6;0;0;28,1;4,13;0;0;0;0
02/01/2022 12:00:00;2,6;223;25,1;88;1009;3,6;0;0;28;4,494;0;0;0;0
02/01/2022 13:00:00;4,1;201;25,7;90;1009,7;3,8;0,4;0;27,9;4,725;0;0;0;0
02/01/2022 14:00:00;2,3;235;25;93;1009,7;3,8;0;0;28,2;4,783;0;0;0;0
02/01/2022 15:00:00;1,8;239;24,8;93;1009,5;3,8;0;0;28,2;4,66;0;0;0;0
02/01/2022 16:00:00;1;247;25;92;1009,1;3,8;0;0;28,4;4,381;0;0;0;0
02/01/2022 17:00:00;1,3;248;25,2;89;1008,7;3,8;0;0;28,4;3,934;0;0;0;0
02/01/2022 18:00:00;1,9;238;25,4;86;1008,3;3,8;0;0;28,2;3,421;0;0;0;0
02/01/2022 19:00:00;2,2;225;25;87;1008,1;3,8;0;0;28,1;2,884;0;0;0;0
02/01/2022 20:00:00;2;224;24,7;91;1008,2;3,8;0;0;28;2,47;0;0;0;0
02/01/2022 21:00:00;3;194;25;91;1008,2;3,8;0;0;27,7;2,282;0;0;0;0
02/01/2022 22:00:00;1,9;226;24,8;90;1008,5;3,8;0;0;27,6;2,402;0;0;0;0
02/01/2022 23:00:00;2,2;272;24,9;90;1009;3,8;73,3;0;27,5;2,683;0;0;0;0
